SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
1,-0.4761021998638143,2,1,1,1,0,1,1,1,0,0,0,3,93
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,37,25
0,-0.4761021998638143,0,0,0,0,0,0,1,0,0,0,1,24,79
0,-0.4761021998638143,1,0,0,1,0,0,1,0,1,1,0,38,83
0,-2.0340282465385986,2,1,0,1,0,1,1,1,1,1,0,37,25
1,1.0818238468109702,0,0,0,1,0,0,0,0,0,0,1,39,81
1,-0.4761021998638143,1,0,0,1,1,0,0,0,1,0,1,40,0
1,-2.0340282465385986,2,1,0,1,1,0,1,1,0,1,0,7,49
1,-0.4761021998638143,2,1,0,0,0,0,1,1,1,1,1,41,77
1,-0.4761021998638143,2,1,1,0,0,1,1,0,1,1,1,37,25
0,1.0818238468109702,2,0,1,1,1,0,0,0,1,1,1,19,76
1,-2.0340282465385986,2,1,0,1,0,1,1,1,0,1,0,7,49
1,1.0818238468109702,2,0,1,0,1,1,1,1,1,1,0,3,93
1,-2.0340282465385986,2,1,1,1,1,1,1,0,0,0,1,42,78
1,-0.4761021998638143,2,1,0,1,0,1,1,1,1,0,1,3,93
0,1.0818238468109702,1,0,0,1,1,0,0,0,0,1,0,19,76
0,1.0818238468109702,2,1,0,1,1,0,0,0,0,1,1,19,76
0,-2.0340282465385986,1,0,1,1,0,0,1,0,0,0,0,21,21
0,1.0818238468109702,1,0,1,0,0,0,1,1,0,0,0,43,16
1,-0.4761021998638143,2,1,0,1,1,1,0,0,1,1,1,34,75
1,1.0818238468109702,1,0,0,1,1,0,0,0,1,1,0,40,0
0,1.0818238468109702,3,1,1,1,1,1,1,1,0,1,0,34,75
1,1.0818238468109702,3,1,1,1,1,0,1,1,1,1,1,5,43
0,1.0818238468109702,0,0,0,1,0,0,0,0,1,0,0,32,26
0,-0.4761021998638143,1,1,0,0,0,1,1,0,0,0,0,15,11
0,1.0818238468109702,2,1,1,1,1,0,0,1,0,1,0,40,0
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,34,75
1,-2.0340282465385986,3,1,1,1,1,0,1,0,1,1,1,21,21
0,-2.0340282465385986,1,1,0,1,1,0,1,0,0,0,0,22,35
1,-0.4761021998638143,2,1,1,0,0,0,1,0,1,1,1,1,13
1,1.0818238468109702,2,1,0,1,1,0,1,0,1,1,1,44,40
0,-0.4761021998638143,1,0,1,0,0,0,0,0,1,0,1,30,50
1,-0.4761021998638143,2,0,1,1,0,0,1,0,0,1,1,5,43
1,-2.0340282465385986,0,0,0,0,0,0,0,0,0,1,0,45,30
0,-0.4761021998638143,2,0,0,0,1,1,1,0,1,1,0,37,25
0,1.0818238468109702,1,0,0,1,1,0,0,1,0,1,0,19,76
0,-0.4761021998638143,2,1,1,1,0,1,1,1,1,0,0,34,75
0,1.0818238468109702,1,1,0,0,0,0,0,0,1,1,0,14,99
0,1.0818238468109702,0,0,0,1,0,0,0,0,0,1,0,46,54
1,1.0818238468109702,2,0,1,0,0,1,0,1,1,0,1,33,88
1,-0.4761021998638143,0,0,0,1,1,0,0,0,0,0,0,40,0
0,1.0818238468109702,2,1,0,0,0,1,1,0,1,1,1,8,48
0,-0.4761021998638143,1,1,0,0,0,0,1,1,0,1,0,13,5
1,1.0818238468109702,1,0,1,1,1,1,0,0,0,0,0,40,0
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,4,37
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,4,37
0,-2.0340282465385986,3,1,1,1,1,1,1,1,1,0,1,40,0
1,1.0818238468109702,3,1,1,0,1,1,1,1,1,1,1,36,32
0,-0.4761021998638143,2,1,0,0,0,1,1,1,0,1,1,4,37
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,13,5
1,-0.4761021998638143,3,1,0,1,1,1,1,1,1,1,1,13,5
0,1.0818238468109702,1,0,1,0,0,0,1,0,1,0,1,47,73
